temp,pH,DO,Conductivity,Turbidity,Next_DO
14.9,8,8.7,805.7,3.4,8.8
13.9,8,8.8,901.8,4.1,8.7
14.3,8,8.7,988.4,4.7,9
14.4,8,9,894.4,3.8,9.1
14.2,8,9.1,833.7,3.4,8.95
14.15,8,8.95,843.7,3.7,8.8
14.1,8,8.8,853.7,4,9
13.5,8,9,858.2,3.6,9.3
13.5,8,9.3,918.6,3.8,9
14,8,9,896.6,3.8,9.2
14,8,9.2,884.4,3.7,9.15
13.8,8,9.15,884.3,4.4,9.1
13.6,8,9.1,884.2,5.1,9.4
12.8,8,9.4,903,4.9,9.4
14.2,8,9.4,883.6,4,9.5
14.7,8,9.5,885.2,3.9,9.2
14.4,8,9.2,890.1,5.3,9.2
14.1,8,9.2,889.35,5.65,9.2
13.8,8,9.2,888.6,6,9.1
13.2,8,9.1,934.5,4.8,9.4
15.2,8,9.4,910.8,3.9,9.7
15.9,8,9.7,870.1,4.9,9.5
14.7,8,9.5,875.7,3.6,9.3
14.45,8,9.3,884.3,4.05,9.1
14.2,8,9.1,892.9,4.5,9.1
13.5,8,9.1,926.7,4.3,9.5
15,8,9.5,884,4,9.4
16.2,8,9.4,898.3,4.3,9.1
15.6,8,9.1,900.5,3.8,9
15.3,8,9,901.05,4.55,8.9
15,8,8.9,901.6,5.3,8.9
14.4,8,8.9,937.7,4,9.2
16.4,8,9.2,910.7,4.6,9.1
17.9,8,9.1,859.4,3.8,9.3
16.5,8,9.3,826.2,3.7,9.15
15.95,8,9.15,816.55,3.85,9
15.4,8,9,806.9,4,9
14.6,8,9,821,3.4,9.2
16.8,8,9.2,810.9,3.9,9.4
17.4,8,9.4,784,4.5,9.3
16.8,8,9.3,809.8,4.8,9.15
16.5,8,9.15,785.15,5.15,9
16.2,8,9,760.5,5.5,8.9
15.5,8,8.9,780.5,4.1,9.3
18.2,8,9.3,765,4.4,9.4
18.2,8,9.4,759.1,5.3,9.4
17.9,8,9.4,750.6,5.1,9.15
17.55,8,9.15,737.25,5.1,8.9
17.2,8,8.9,723.9,5.1,8.8
16.5,8,8.8,750.4,4.1,9.1
18.3,8,9.1,744.5,4.45,9.4
20.1,8,9.4,738.6,4.8,9
19.1,8,9,716.9,5.1,8.9
18.95,8,8.9,711.8,4.2,8.9
18.95,8,8.9,711.8,4.2,8.9
18.95,8,8.9,711.8,4.2,8.8
18.8,8,8.8,706.7,3.3,8.8
18.7,8,8.8,704.2,4.6,8.7
18.5,8,8.7,712.1,3.3,8.55
18.1,8,8.55,716.6,3.45,8.4
17.7,8,8.4,721.1,3.6,7.9
17.2,8,7.9,727,3,8.5
19,8,8.5,734.9,3.8,8.7
21.4,8,8.7,718.6,3.6,8.3
20.6,8,8.3,715.2,3,8.1
19.9,8,8.1,716.45,3,7.9
19.2,8,7.9,717.7,3,7.7
18.6,8,7.7,722.4,2.5,8
20.5,8,8,740.3,3,8
22.6,8,8,753.6,3.1,7.9
21.6,8,7.9,753.6,3,7.75
20.9,8,7.75,751.1,3,7.6
20.2,8,7.6,748.6,3,8.1
19.5,8,8.1,760.2,4,8
21.3,8,8,772.8,4.3,8.2
22.3,8,8.2,780.8,4.4,7.7
21.6,8,7.7,793.7,3.2,7.55
21.5,8,7.55,793.05,4.15,7.4
21.4,8,7.4,792.4,5.1,7.2
20.7,8,7.2,830.3,4.2,7.7
22.6,8,7.7,802.4,2.9,7.8
22.2,8,7.8,814,3.2,7.6
21.2,8,7.6,827.9,4.7,7.5
20.45,8,7.5,847.8,5.35,7.4
19.7,8,7.4,867.7,6,7
18.9,8,7,894.8,5.3,7.4
18.7,8,7.4,890.8,5.7,7.5
18.4,8,7.5,899.4,5,7.3
18.1,8,7.3,898.8,4.7,7.2
17.85,8,7.2,903.95,4.6,7.1
17.6,8,7.1,909.1,4.5,6.8
17,8,6.8,919.1,5.1,6.9
17,8,6.9,924.5,4.7,7
17,8,7,925.3,3.8,7
16.8,8,7,933.2,3.2,6.9
16.6,8,6.9,942.5,3.8,6.8
16.4,8,6.8,951.8,4.4,6.3
16.1,8,6.3,957.6,3.9,6.9
17.1,8,6.9,961.6,3.8,7.2
17.4,8,7.2,956.3,3.6,6.3
16.5,8,6.3,946.8,11.2,7
16.1,8,7,828.45,11.6,7.7
15.7,8,7.7,710.1,12,7.6
15.4,8,7.6,703.4,10.5,7.6
15.9,8,7.6,703.3,18.2,7.8
16.1,8,7.8,699,15.1,7.9
16.1,8,7.9,698.4,13,7.9
15.95,8,7.9,695.55,11.95,7.9
15.8,8,7.9,692.7,10.9,7.7
15.6,8,7.7,691.6,9.7,7.9
16.3,8,7.9,688.2,9.3,8
17,8,8,687,16.2,8.1
17.5,8,8.1,684,14.7,8.05
17.25,8,8.05,683.05,15.3,8
17,8,8,682.1,15.9,7.6
16.5,8,7.6,685,19.4,8
17.2,8,8,682.3,16.5,8.3
18,8,8.3,680.6,13.6,8.4
18.4,8,8.4,680.9,15.5,8.3
18.25,8,8.3,678.65,14.7,8.2
18.1,8,8.2,676.4,13.9,8
17.5,8,8,680.2,13.2,8.1
18.4,8,8.1,679.5,7.6,8.25
18.8,8,8.25,683,7.35,8.4
19.2,8,8.4,686.5,7.1,8.2
18.8,8,8.2,681,7.7,8
18.4,8,8,675.5,8.3,8
18,8,8,680,7.2,8.3
18.5,8,8.3,677.1,5.4,8.3
18.7,8,8.3,676,5.3,8.3
18.6,8,8.3,677.4,5.7,8.1
18.4,8,8.1,678.05,5.95,7.9
18.2,8,7.9,678.7,6.2,7.7
18,8,7.7,684.5,5.6,8.2
18.8,8,8.2,678.8,5.5,8.5
20,8,8.5,677.9,3.8,8.1
19.5,8,8.1,676.2,3.2,7.95
19.15,8,7.95,677.5,3.25,7.8
18.8,8,7.8,678.8,3.3,7.7
18.5,8,7.7,689,3.7,7.8
20.1,8,7.8,685.8,4.4,8.9
22.7,8,8.9,679.4,7.1,8.3
22,8,8.3,677.2,4.9,8.05
21.2,8,8.05,680.2,4.75,7.8
20.4,8,7.8,683.2,4.6,7.7
19.8,8,7.7,688.6,5.1,7.7
19.8,8,7.7,673.2,17.6,8.1
20.3,8,8.1,669.9,47.7,8.1
20,8,8.1,669.1,16.5,7.9
19.8,8,7.9,669.05,16.75,7.7
19.6,8,7.7,669,17,7.6
19.3,8,7.6,676.6,17.7,7.8
20.4,8,7.8,668.6,13.9,7.9
20.85,8,7.9,667.2,15.95,8
21.3,8,8,665.8,18,7.8
21,8,7.8,665.55,14.9,7.6
20.7,8,7.6,665.3,11.8,7.5
20.4,8,7.5,673.5,17.2,7.8
21.7,8,7.8,665.3,19.5,7.5
23.6,8,7.5,666.6,13.3,7.2
23.2,8,7.2,660.4,8.7,7.05
22.85,8,7.05,665.4,7.6,6.9
22.5,8,6.9,670.4,6.5,6.9
22,8,6.9,672.3,6.1,7.9
23.8,8,7.9,668.5,5,7.9
23.7,8,7.9,666.8,18.1,8.1
23.5,8,8.1,666.9,21.6,7.9
23,8,7.9,665.15,20.5,7.7
22.5,8,7.7,663.4,19.4,7.4
22,8,7.4,671.4,25.7,7.4
23,8,7.4,663.3,32.5,7.4
23.1,8,7.4,663.9,23.7,7.5
23.1,8,7.5,660.4,32.8,7.35
22.95,8,7.35,658.1,35.65,7.2
22.8,8,7.2,655.8,38.5,7
22,8,7,663.6,42.9,7.5
21.5,8,7.5,659.2,87.9,8
21.4,8,8,659.5,34.7,8.1
20.8,8,8.1,659.5,32.3,7.9
20.5,8,7.9,661.45,27.75,7.7
20.2,8,7.7,663.4,23.2,7.5
19.6,8,7.5,669.9,28.1,7.8
20.6,8,7.8,666.5,23.1,7.9
21.3,8,7.9,666.3,25.8,7.9
21.1,8,7.9,665.2,28.9,7.8
20.85,8,7.8,665,27.45,7.7
20.6,8,7.7,664.8,26,7.5
20.3,8,7.5,668.7,24.6,8
21.2,8,8,665.4,33.4,7.75
21.55,8,7.75,665.05,24.05,7.5
21.9,8,7.5,664.7,14.7,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,8.25
22.5,8,8.25,663.9,10.35,9
23.1,8,9,663.1,6,9.3
23.7,8,9.3,658.1,6.8,8
22.9,8,8,662.2,6.1,7.4
22.65,8,7.4,662.25,6.25,6.8
22.4,8,6.8,662.3,6.4,6.9
22,8,6.9,668,6.6,7
23.5,8,7,664.5,6.7,7.5
